n_components,reconstruction_error,alpha,l1_ratio,topics,time
10,137.12064145306496,1,0.25,"['00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.1499211030022707
10,137.12064145306496,1,0.5,"['00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.0846380809962284
10,137.12064145306496,1,0.75,"['00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.4477827579830773
10,137.12064145306496,1,1.0,"['00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",61.99183487301343
10,137.12064145306496,5,0.0,"['00000001b', '000000', '000', '0000', '00000001', '00000000b', '0000000004', '00000000', '00000', '00']",2.610759617993608
10,137.12064145306496,5,0.25,"['00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.39948542098864
10,137.12064145306496,5,0.5,"['00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.2444736050092615
10,137.12064145306496,5,0.75,"['00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.2389400569954887
10,137.12064145306496,5,1.0,"['00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",62.33898392599076
10,137.12064145306496,10,0.0,"['0000', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '000', '00']",2.990976594010135
10,137.12064145306496,10,0.25,"['00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.869322458980605
10,137.12064145306496,10,0.5,"['00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.3443884040170815
10,137.12064145306496,10,0.75,"['00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.1280703629890922
10,137.12064145306496,10,1.0,"['00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",72.86741285698372
11,134.92129007907374,0,0.0,"['00000001b', '00000000', '00', '00000', '00000010', '000', '00000001', '0000', '00000000b', '0000000004', '000000']",13.876492954004789
11,137.12064145306496,1,0.0,"['00', '00000001b', '0000000004', '00000000', '00000', '00000000b', '00000010', '00000001', '0000', '000000', '000']",2.4503603180055507
11,137.12064145306496,1,0.25,"['00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.0621026740118396
11,137.12064145306496,1,0.5,"['00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.8744328760076314
11,137.12064145306496,1,0.75,"['00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.851081462984439
11,137.12064145306496,1,1.0,"['00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",81.97198939797818
11,137.12064145306496,5,0.0,"['00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.7290698220022023
11,137.12064145306496,5,0.25,"['00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.7791859739809297
11,137.12064145306496,5,0.5,"['00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.7408004550088663
11,137.12064145306496,5,0.75,"['00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.3330611450073775
11,137.12064145306496,5,1.0,"['00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",82.20241616299609
11,137.12064145306496,10,0.0,"['00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.0801814020087477
11,137.12064145306496,10,0.25,"['00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.7264681670058053
11,137.12064145306496,10,0.5,"['00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.8155672540015075
11,137.12064145306496,10,0.75,"['00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.9546973549877293
11,137.12064145306496,10,1.0,"['00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",83.13135975899058
12,134.8195784208879,0,0.0,"['00000001b', '00000010b', '00', '00000', '00000000', '00000010', '000', '00000001', '0000', '000000', '00000000b', '0000000004']",15.983748517988715
12,137.12064145306496,1,0.0,"['00', '00000010b', '00000010', '00000001b', '0000000004', '00000000', '00000000b', '000', '0000', '00000001', '000000', '00000']",3.0187788699986413
12,137.12064145306496,1,0.25,"['00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",3.1034933630144224
12,137.12064145306496,1,0.5,"['00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.9781082510016859
12,137.12064145306496,1,0.75,"['00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.0137481940037105
12,137.12064145306496,1,1.0,"['00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",90.69530995900277
12,137.12064145306496,5,0.0,"['00000010', '00000001', '00000010b', '00000001b', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",3.2527896850078832
12,137.12064145306496,5,0.25,"['00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.7294981890008785
12,137.12064145306496,5,0.5,"['00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.4853312709892634
12,137.12064145306496,5,0.75,"['00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.7222736539843027
12,137.12064145306496,5,1.0,"['00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",78.85095806297613
12,137.12064145306496,10,0.0,"['00000001', '00000010b', '00000010', '00000001b', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.112401824997505
12,137.12064145306496,10,0.25,"['00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",2.7874508959939703
12,137.12064145306496,10,0.5,"['00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.9493720309983473
12,137.12064145306496,10,0.75,"['00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",1.980274350993568
12,137.12064145306496,10,1.0,"['00000010b', '00000010', '00000001b', '00000001', '00000000b', '0000000004', '00000000', '000000', '00000', '0000', '000', '00']",79.55053839599714
13,134.73138967323558,0,0.0,"['00', '00000010b', '0000000004', '00000', '00000010', '00000000', '0000', '00000001', '000', '00000011', '00000001b', '00000000b', '000000']",50.43074796599103
13,137.12064145306496,1,0.0,"['00', '00000011', '00000010b', '00000001b', '00000001', '00000000b', '0000000004', '00000', '000', '0000', '00000010', '00000000', '000000']",2.7372180850070436
